time,agentID,x,y,z,action
1,1,1.197742,0.105,5.402001,walk
2,1,1.198065,0.105,5.401716,walk
3,1,1.198387,0.105,5.40143,walk
4,1,1.19871,0.105,5.401144,walk
5,1,1.199032,0.105,5.400858,walk
6,1,1.199355,0.105,5.400572,walk
48,1,1.2,0.105,5.4,walk
51,1,1.2,0.105,5.4,walk
54,1,1.2,0.105,5.4,walk
57,1,1.2,0.105,5.4,walk
60,1,1.2,0.105,5.4,walk
63,1,1.2,0.105,5.4,walk
66,1,1.2,0.105,5.4,walk
69,1,1.2,0.105,5.4,walk
72,1,1.2,0.105,5.4,walk
75,1,1.2,0.105,5.4,walk
78,1,1.2,0.105,5.4,walk
81,1,1.566667,0.105,5.05,walk
84,1,2.666667,0.105,4,walk
87,1,3.4,0.105,3.3,walk
90,1,3.4,0.105,3.3,walk
93,1,3.4,0.105,3.3,walk
96,1,3.4,0.105,3.3,walk
99,1,3.4,0.105,3.3,walk
102,1,3.4,0.105,3.3,walk
105,1,3.4,0.105,3.3,walk
108,1,3.4,0.105,3.3,walk
111,1,3.4,0.105,3.3,walk
114,1,3.4,0.105,3.3,walk
117,1,3.4,0.105,3.3,walk
120,1,3.4,0.105,3.3,walk
123,1,3.4,0.105,3.3,walk
126,1,3.4,0.105,3.3,walk
162,1,3.4,0.105,3.3,walk
165,1,3.4,0.105,3.3,walk
171,1,3.4,0.105,3.3,walk
174,1,3.4,0.105,3.3,walk
177,1,3.4,0.105,3.3,walk
180,1,3.4,0.105,3.3,walk
182,1,3.4,0.105,3.3,walk
183,1,3.4,0.105,3.3,walk
184,1,3.4,0.105,3.3,walk
185,1,3.4,0.105,3.3,walk
186,1,3.4,0.105,3.3,walk
187,1,3.4,0.105,3.3,walk
188,1,3.4,0.105,3.3,walk
189,1,3.4,0.105,3.3,walk
192,1,3.4,0.105,3.3,walk
195,1,3.4,0.105,3.3,walk
197,1,3.4,0.105,3.3,walk
198,1,3.4,0.105,3.3,walk
199,1,3.4,0.105,3.3,walk
216,1,3.4,0.105,3.3,walk
219,1,3.4,0.105,3.3,walk
222,1,3.4,0.105,3.3,walk
225,1,3.4,0.105,3.3,walk
231,1,3.4,0.105,3.3,walk
234,1,3.4,0.105,3.3,walk
237,1,3.4,0.105,3.3,walk
239,1,3.4,0.105,3.3,walk
240,1,3.4,0.105,3.3,walk
243,1,3.4,0.105,3.3,walk
246,1,3.4,0.105,3.3,walk
249,1,3.4,0.105,3.3,walk
252,1,3.4,0.105,3.3,walk
255,1,3.4,0.105,3.3,walk
258,1,3.4,0.105,3.3,walk
264,1,3.4,0.105,3.3,walk
267,1,3.4,0.105,3.3,walk
270,1,3.4,0.105,3.3,walk
273,1,3.4,0.105,3.3,walk
276,1,3.4,0.105,3.3,walk
279,1,3.4,0.105,3.3,walk
282,1,3.4,0.105,3.3,walk
285,1,3.4,0.105,3.3,walk
288,1,3.4,0.105,3.3,walk
297,1,3.4,0.105,3.3,walk
300,1,3.4,0.105,3.3,walk
303,1,3.4,0.105,3.3,walk
306,1,3.4,0.105,3.3,walk
309,1,3.4,0.105,3.3,walk
312,1,3.4,0.105,3.3,walk
315,1,3.4,0.105,3.3,walk
336,1,3.4,0.105,3.3,walk
339,1,3.4,0.105,3.3,walk
342,1,3.4,0.105,3.3,walk
345,1,3.4,0.105,3.3,walk
348,1,3.4,0.105,3.3,walk
357,1,3.4,0.105,3.3,walk
360,1,3.4,0.105,3.3,walk
366,1,3.4,0.105,3.3,walk
369,1,3.4,0.105,3.3,walk
373,1,3.4,0.105,3.3,walk
374,1,3.4,0.105,3.3,walk
375,1,3.4,0.105,3.3,walk
376,1,3.4,0.105,3.3,walk
390,1,3.4,0.105,3.3,walk
393,1,3.4,0.105,3.3,walk
399,1,3.4,0.105,3.3,walk
405,1,3.4,0.105,3.3,walk
406,1,3.4,0.105,3.3,walk
407,1,3.4,0.105,3.3,walk
408,1,3.4,0.105,3.3,walk
409,1,3.4,0.105,3.3,walk
417,1,3.4,0.105,3.3,walk
435,1,3.4,0.105,3.3,walk
438,1,3.4,0.105,3.3,walk
444,1,3.4,0.105,3.3,walk
450,1,3.4,0.105,3.3,walk
451,1,3.4,0.105,3.3,walk
452,1,3.4,0.105,3.3,walk
453,1,3.4,0.105,3.3,walk
454,1,3.4,0.105,3.3,walk
455,1,3.4,0.105,3.3,walk
456,1,3.4,0.105,3.3,walk
477,1,3.4,0.105,3.3,walk
486,1,3.4,0.105,3.3,walk
495,1,3.4,0.105,3.3,walk
507,1,3.4,0.105,3.3,walk
510,1,3.4,0.105,3.3,walk
513,1,3.4,0.105,3.3,walk
516,1,3.4,0.105,3.3,walk
531,1,3.4,0.105,3.3,walk
542,1,3.4,0.105,3.3,walk
543,1,3.4,0.105,3.3,walk
544,1,3.4,0.105,3.3,walk
545,1,3.4,0.105,3.3,walk
546,1,3.4,0.105,3.3,walk
547,1,3.4,0.105,3.3,walk
548,1,3.4,0.105,3.3,walk
549,1,3.4,0.105,3.3,walk
550,1,3.4,0.105,3.3,walk
567,1,3.4,0.105,3.3,walk
582,1,3.4,0.105,3.3,walk
584,1,3.4,0.105,3.3,walk
585,1,3.4,0.105,3.3,walk
586,1,3.4,0.105,3.3,walk
587,1,3.4,0.105,3.3,walk
588,1,3.4,0.105,3.3,walk
589,1,3.4,0.105,3.3,walk
590,1,3.4,0.105,3.3,walk
591,1,3.4,0.105,3.3,walk
594,1,3.4,0.105,3.3,walk
606,1,3.4,0.105,3.3,walk
615,1,3.4,0.105,3.3,walk
616,1,3.4,0.105,3.3,walk
617,1,3.4,0.105,3.3,walk
618,1,3.4,0.105,3.3,walk
627,1,3.4,0.105,3.3,walk
636,1,3.4,0.105,3.3,walk
639,1,3.4,0.105,3.3,walk
644,1,3.4,0.105,3.3,walk
645,1,3.4,0.105,3.3,walk
651,1,3.4,0.105,3.3,walk
654,1,3.4,0.105,3.3,walk
657,1,3.4,0.105,3.3,walk
665,1,3.4,0.105,3.3,walk
666,1,3.4,0.105,3.3,walk
667,1,3.4,0.105,3.3,walk
669,1,3.4,0.105,3.3,walk
678,1,3.4,0.105,3.3,walk
681,1,3.4,0.105,3.3,walk
690,1,3.4,0.105,3.3,walk
691,1,3.4,0.105,3.3,walk
692,1,3.4,0.105,3.3,walk
693,1,3.4,0.105,3.3,walk
694,1,3.4,0.105,3.3,walk
695,1,3.4,0.105,3.3,walk
708,1,3.4,0.105,3.3,walk
711,1,3.4,0.105,3.3,walk
714,1,3.4,0.105,3.3,walk
729,1,3.4,0.105,3.3,walk
732,1,3.4,0.105,3.3,walk
735,1,3.4,0.105,3.3,walk
738,1,3.4,0.105,3.3,walk
741,1,3.4,0.105,3.3,walk
750,1,3.4,0.105,3.3,walk
759,1,3.4,0.105,3.3,walk
762,1,3.4,0.105,3.3,walk
765,1,3.4,0.105,3.3,walk
771,1,3.4,0.105,3.3,walk
777,1,3.4,0.105,3.3,walk
780,1,3.4,0.105,3.3,walk
783,1,3.4,0.105,3.3,walk
795,1,3.4,0.105,3.3,walk
796,1,3.4,0.105,3.3,walk
797,1,3.4,0.105,3.3,walk
798,1,3.4,0.105,3.3,walk
799,1,3.4,0.105,3.3,walk
801,1,3.4,0.105,3.3,walk
804,1,3.4,0.105,3.3,walk
807,1,3.4,0.105,3.3,walk
816,1,3.4,0.105,3.3,walk
819,1,3.4,0.105,3.3,walk
826,1,3.4,0.105,3.3,walk
827,1,3.4,0.105,3.3,walk
828,1,3.4,0.105,3.3,walk
829,1,3.4,0.105,3.3,walk
830,1,3.4,0.105,3.3,walk
831,1,3.4,0.105,3.3,walk
832,1,3.4,0.105,3.3,walk
833,1,3.4,0.105,3.3,walk
837,1,3.4,0.105,3.3,walk
840,1,3.4,0.105,3.3,walk
842,1,3.4,0.105,3.3,walk
843,1,3.4,0.105,3.3,walk
846,1,3.4,0.105,3.3,walk
849,1,3.4,0.105,3.3,walk
858,1,3.4,0.105,3.3,walk
864,1,3.4,0.105,3.3,walk
873,1,3.4,0.105,3.3,walk
874,1,3.4,0.105,3.3,walk
875,1,3.4,0.105,3.3,walk
885,1,3.4,0.105,3.3,walk
899,1,3.4,0.105,3.3,walk
900,1,3.4,0.105,3.3,walk
901,1,3.4,0.105,3.3,walk
902,1,3.4,0.105,3.3,walk
903,1,3.4,0.105,3.3,walk
906,1,3.4,0.105,3.3,walk
907,1,3.4,0.105,3.3,walk
908,1,3.4,0.105,3.3,walk
912,1,3.4,0.105,3.3,walk
915,1,3.4,0.105,3.3,walk
918,1,3.4,0.105,3.3,walk
924,1,3.4,0.105,3.3,walk
930,1,3.4,0.105,3.3,walk
933,1,3.4,0.105,3.3,walk
935,1,3.4,0.105,3.3,walk
936,1,3.4,0.105,3.3,walk
937,1,3.4,0.105,3.3,walk
938,1,3.4,0.105,3.3,walk
939,1,3.4,0.105,3.3,walk
951,1,3.4,0.105,3.3,walk
960,1,3.4,0.105,3.3,walk
966,1,3.4,0.105,3.3,walk
969,1,3.4,0.105,3.3,walk
987,1,3.4,0.105,3.3,walk
990,1,3.4,0.105,3.3,walk
993,1,3.4,0.105,3.3,walk
999,1,3.4,0.105,3.3,walk
1002,1,3.4,0.105,3.3,walk
1005,1,3.4,0.105,3.3,walk
1008,1,3.4,0.105,3.3,walk
1011,1,3.4,0.105,3.3,walk
1014,1,3.4,0.105,3.3,walk
1017,1,3.4,0.105,3.3,walk
1020,1,3.4,0.105,3.3,walk
1023,1,3.4,0.105,3.3,walk
1026,1,3.4,0.105,3.3,walk
1029,1,3.4,0.105,3.3,walk
1032,1,3.4,0.105,3.3,walk
1035,1,3.4,0.105,3.3,walk
1038,1,3.4,0.105,3.3,walk
1041,1,3.4,0.105,3.3,walk
1044,1,3.4,0.105,3.3,walk
1047,1,3.4,0.105,3.3,walk
1050,1,3.4,0.105,3.3,walk
1053,1,3.4,0.105,3.3,walk
1056,1,3.4,0.105,3.3,walk
1059,1,3.4,0.105,3.3,walk
1062,1,3.4,0.105,3.3,walk
1065,1,3.4,0.105,3.3,walk
1080,1,3.4,0.105,3.3,walk
1086,1,3.4,0.105,3.3,walk
1089,1,3.4,0.105,3.3,walk
1095,1,3.4,0.105,3.3,walk
1098,1,3.4,0.105,3.3,walk
1101,1,3.4,0.105,3.3,walk
1104,1,3.4,0.105,3.3,walk
1113,1,3.4,0.105,3.3,walk
1116,1,3.4,0.105,3.3,walk
1122,1,3.4,0.105,3.3,walk
1125,1,3.4,0.105,3.3,walk
1128,1,3.4,0.105,3.3,walk
1131,1,3.4,0.105,3.3,walk
1140,1,3.4,0.105,3.3,walk
1143,1,3.4,0.105,3.3,walk
1149,1,3.4,0.105,3.3,walk
1152,1,3.4,0.105,3.3,walk
1158,1,3.4,0.105,3.3,walk
1161,1,3.4,0.105,3.3,walk
1164,1,3.4,0.105,3.3,walk
1170,1,3.4,0.105,3.3,walk
1173,1,3.4,0.105,3.3,walk
1176,1,3.4,0.105,3.3,walk
1179,1,3.4,0.105,3.3,walk
1182,1,3.4,0.105,3.3,walk
1185,1,4.18,0.105,4.26,walk
1188,1,4.96,0.105,5.22,walk
1194,1,6,0.105,6.5,walk
1197,1,6,0.105,6.5,walk
1200,1,6,0.105,6.5,walk
1203,1,6,0.105,6.5,walk
1206,1,6,0.105,6.5,walk
1212,1,6,0.105,6.5,walk
1215,1,6,0.105,6.5,walk
1222,1,6,0.105,6.5,walk
1223,1,6,0.105,6.5,walk
1224,1,6,0.105,6.5,walk
1254,1,4.2,0.105,0.5,walk
1257,1,4.2,0.105,0.5,walk
1260,1,4.2,0.105,0.5,walk
1263,1,4.2,0.105,0.5,walk
1266,1,4.2,0.105,0.5,walk
1269,1,4.2,0.105,0.5,walk
1272,1,4.2,0.105,0.5,walk
1275,1,4.2,0.105,0.5,walk
1278,1,4.2,0.105,0.5,walk
1350,1,4.2,0.105,0.5,walk
1351,1,4.2,0.105,0.5,walk
1352,1,4.2,0.105,0.5,walk
1353,1,4.2,0.105,0.5,walk
1369,1,6,0.105,6.5,walk
1370,1,6,0.105,6.5,walk
1416,1,6,0.105,6.5,walk
1419,1,6,0.105,6.5,walk
1422,1,6,0.105,6.5,walk
1425,1,6,0.105,6.5,walk
1428,1,6,0.105,6.5,walk
1431,1,6,0.105,6.5,walk
1434,1,6,0.105,6.5,walk
1437,1,6,0.105,6.5,walk
1440,1,6,0.105,6.5,walk
1441,1,6,0.105,6.5,walk
1442,1,6,0.105,6.5,walk
1443,1,6,0.105,6.5,walk
1446,1,6,0.105,6.5,walk
1448,1,6,0.105,6.5,walk
1449,1,6,0.105,6.5,walk
1450,1,6,0.105,6.5,walk
1452,1,6,0.105,6.5,walk
1455,1,6,0.105,6.5,walk
1458,1,6,0.105,6.5,walk
1459,1,6,0.105,6.5,walk
1460,1,6,0.105,6.5,walk
1461,1,6,0.105,6.5,walk
1462,1,6,0.105,6.5,walk
1463,1,6,0.105,6.5,walk
1464,1,6,0.105,6.5,walk
1467,1,6,0.105,6.5,walk
1469,1,6,0.105,6.5,walk
1470,1,6,0.105,6.5,walk
1471,1,6,0.105,6.5,walk
1476,1,6,0.105,6.5,walk
1479,1,6,0.105,6.5,walk
1482,1,6,0.105,6.5,walk
1485,1,6.133333,0.105,6.8,walk
1488,1,6.4,0.105,7.4,walk
1491,1,6.4,0.105,7.4,walk
1494,1,6.4,0.105,7.4,walk
1497,1,6.4,0.105,7.4,walk
1509,1,6.4,0.105,7.4,walk
1512,1,6.4,0.105,7.4,walk
1515,1,6.4,0.105,7.4,walk
1518,1,6.4,0.105,7.4,walk
1521,1,6.4,0.105,7.4,walk
1524,1,6.4,0.105,7.4,walk
1527,1,6.4,0.105,7.4,walk
1530,1,6.4,0.105,7.4,walk
1533,1,6.4,0.105,7.4,walk
1536,1,6,0.105,6.5,walk
1539,1,6,0.105,4.9,walk
1542,1,5.25,0.105,5.766667,walk
1545,1,4.5,0.105,6.633333,walk
1547,1,4,0.105,7.211111,walk
1548,1,3.75,0.105,7.5,walk
1549,1,3.790909,0.105,7.452727,walk
1550,1,3.831818,0.105,7.405455,walk
1551,1,3.872727,0.105,7.358182,walk
1552,1,3.913636,0.105,7.310909,walk
1553,1,3.954545,0.105,7.263636,walk
1554,1,3.995455,0.105,7.216364,walk
1557,1,4.118182,0.105,7.074545,walk
1560,1,4.240909,0.105,6.932727,walk
1563,1,4.363636,0.105,6.790909,walk
1566,1,4.486364,0.105,6.649091,walk
1567,1,4.527273,0.105,6.601818,walk
1568,1,4.568182,0.105,6.554545,walk
1569,1,4.609091,0.105,6.507273,walk
1570,1,4.65,0.105,6.46,walk
1571,1,4.690909,0.105,6.412727,walk
1572,1,4.731818,0.105,6.365455,walk
1575,1,4.854545,0.105,6.223636,walk
1578,1,4.977273,0.105,6.081818,walk
1579,1,5.018182,0.105,6.034545,walk
1580,1,5.059091,0.105,5.987273,walk
1581,1,5.1,0.105,5.94,walk
1582,1,5.140909,0.105,5.892727,walk
1583,1,5.181818,0.105,5.845455,walk
1584,1,5.222727,0.105,5.798182,walk
1585,1,5.263636,0.105,5.750909,walk
1592,1,5.55,0.105,5.42,walk
1593,1,5.590909,0.105,5.372727,walk
1594,1,5.631818,0.105,5.325455,walk
1595,1,5.672727,0.105,5.278182,walk
1596,1,5.713636,0.105,5.230909,walk
1597,1,5.754545,0.105,5.183636,walk
1598,1,5.795455,0.105,5.136364,walk
1599,1,5.836364,0.105,5.089091,walk
1600,1,5.877273,0.105,5.041818,walk
1601,1,5.918182,0.105,4.994545,walk
1611,1,1.8,0.105,8.04,walk
1621,1,2.95,0.105,7.1,walk
1622,1,2.95,0.105,7.1,walk
1623,1,2.95,0.105,7.1,walk
1626,1,2.95,0.105,7.1,walk
1629,1,2.95,0.105,7.1,walk
1668,1,2.95,0.105,7.1,walk
1671,1,2.95,0.105,7.1,walk
1674,1,2.95,0.105,7.1,walk
1680,1,2.95,0.105,7.1,walk
1686,1,2.95,0.105,7.1,walk
1689,1,2.5,0.105,10.2,walk
1692,1,2.5,0.105,10.2,walk
1695,1,2.5,0.105,10.2,walk
1698,1,2.5,0.105,10.2,walk
1701,1,2.5,0.105,10.2,walk
1710,1,1.85,0.105,10.2,walk
1716,1,2.175,0.105,10.2,walk
1722,1,2.5,0.105,10.2,walk
1724,1,2.725,0.105,8.65,walk
1725,1,2.8375,0.105,7.875,walk
1728,1,2.95,0.105,7.1,walk
1731,1,2.95,0.105,7.1,walk
1734,1,2.95,0.105,7.1,walk
1737,1,2.95,0.105,7.1,walk
1740,1,2.95,0.105,7.1,walk
1743,1,2.95,0.105,7.1,walk
1746,1,2.95,0.105,7.1,walk
1749,1,2.95,0.105,7.1,walk
1752,1,2.95,0.105,7.1,walk
1755,1,2.95,0.105,7.1,walk
1758,1,2.95,0.105,7.1,walk
1761,1,2.95,0.105,7.1,walk
1764,1,2.95,0.105,7.1,walk
1767,1,2.95,0.105,7.1,walk
1770,1,2.95,0.105,7.1,walk
1773,1,2.95,0.105,7.1,walk
1776,1,2.95,0.105,7.1,walk
1779,1,2.95,0.105,7.1,walk
1782,1,2.95,0.105,7.1,walk
1785,1,2.95,0.105,7.1,walk
1794,1,2.95,0.105,7.1,walk
1809,1,2.95,0.105,7.1,walk
1812,1,2.95,0.105,7.1,walk
1815,1,2.95,0.105,7.1,walk
1818,1,2.95,0.105,7.1,walk
1821,1,2.95,0.105,7.1,walk
1824,1,2.95,0.105,7.1,walk
1827,1,2.95,0.105,7.1,walk
1830,1,2.5,0.105,10.2,walk
1833,1,2.5,0.105,10.2,walk
1836,1,2.5,0.105,10.2,walk
1839,1,2.5,0.105,10.2,walk
1842,1,2.5,0.105,10.2,walk
1845,1,2.77,0.105,8.34,walk
1848,1,2.95,0.105,7.1,walk
1851,1,2.95,0.105,7.1,walk
1854,1,2.95,0.105,7.1,walk
1857,1,2.95,0.105,7.1,walk
1866,1,2.95,0.105,7.1,walk
1872,1,2.95,0.105,7.1,walk
1875,1,2.95,0.105,7.1,walk
1878,1,2.95,0.105,7.1,walk
1881,1,2.95,0.105,7.1,walk
1884,1,2.95,0.105,7.1,walk
1887,1,2.95,0.105,7.1,walk
1890,1,2.95,0.105,7.1,walk
1893,1,2.95,0.105,7.1,walk
1896,1,2.95,0.105,7.1,walk
1899,1,2.95,0.105,7.1,walk
1902,1,2.95,0.105,7.1,walk
1905,1,2.95,0.105,7.1,walk
1908,1,2.95,0.105,7.1,walk
1911,1,2.95,0.105,7.1,walk
1914,1,2.95,0.105,7.1,walk
1917,1,2.95,0.105,7.1,walk
1920,1,2.95,0.105,7.1,walk
1923,1,2.95,0.105,7.1,walk
1926,1,2.95,0.105,7.1,walk
1929,1,2.95,0.105,7.1,walk
1932,1,2.95,0.105,7.1,walk
1935,1,2.95,0.105,7.1,walk
1937,1,2.95,0.105,7.1,walk
1938,1,2.95,0.105,7.1,walk
1941,1,2.95,0.105,7.1,walk
1944,1,2.95,0.105,7.1,walk
1947,1,2.95,0.105,7.1,walk
1950,1,2.95,0.105,7.1,walk
1953,1,2.95,0.105,7.1,walk
1956,1,2.95,0.105,7.1,walk
1959,1,2.95,0.105,7.1,walk
1962,1,2.95,0.105,7.1,walk
1965,1,2.95,0.105,7.1,walk
1968,1,2.95,0.105,7.1,walk
1971,1,2.95,0.105,7.1,walk
1974,1,2.95,0.105,7.1,walk
1977,1,2.95,0.105,7.1,walk
1980,1,2.95,0.105,7.1,walk
1983,1,2.95,0.105,7.1,walk
1995,1,2.95,0.105,7.1,walk
1998,1,2.95,0.105,7.1,walk
2001,1,2.95,0.105,7.1,walk
2004,1,2.95,0.105,7.1,walk
2007,1,2.95,0.105,7.1,walk
2010,1,2.95,0.105,7.1,walk
2013,1,2.95,0.105,7.1,walk
2016,1,2.95,0.105,7.1,walk
2019,1,2.95,0.105,7.1,walk
2022,1,2.95,0.105,7.1,walk
2025,1,2.95,0.105,7.1,walk
2028,1,2.95,0.105,7.1,walk
2031,1,2.95,0.105,7.1,walk
